time,strategy,interval,iteration_cost_value
2024-12-25 00:00:00,FIXED,17232,-109.074594632
2024-12-25 00:30:00,FIXED,17233,-106.874594632
2024-12-25 01:00:00,FIXED,17234,-280.52299246
2024-12-25 01:30:00,FIXED,17235,-231.52273100000002
2024-12-25 02:00:00,FIXED,17236,-425.2903077
2024-12-25 02:30:00,FIXED,17237,-464.4903077
2024-12-25 03:00:00,FIXED,17238,-390.0
2024-12-25 03:30:00,FIXED,17239,-251.2
2024-12-25 04:00:00,FIXED,17240,-0.2
2024-12-25 04:30:00,FIXED,17241,0.0
2024-12-25 05:00:00,FIXED,17242,-68.59999
2024-12-25 05:30:00,FIXED,17243,-9.199999
2024-12-25 06:00:00,FIXED,17244,-636.4
2024-12-25 06:30:00,FIXED,17245,-91.19999
2024-12-25 07:00:00,FIXED,17246,-73.59999
2024-12-25 07:30:00,FIXED,17247,-87.8
2024-12-25 08:00:00,FIXED,17248,-93.815493272
2024-12-25 08:30:00,FIXED,17249,-40.70681999999999
2024-12-25 09:00:00,FIXED,17250,-4.5229789231
2024-12-25 09:30:00,FIXED,17251,-12.70742
2024-12-25 10:00:00,FIXED,17252,-395.65306
2024-12-25 10:30:00,FIXED,17253,0.0
2024-12-25 11:00:00,FIXED,17254,-7.1290769230999995
2024-12-25 11:30:00,FIXED,17255,-7.7752169230999995
2024-12-25 12:00:00,FIXED,17256,-279.77862
2024-12-25 12:30:00,FIXED,17257,-1.0768998923100002
2024-12-25 13:00:00,FIXED,17258,-242.73326
2024-12-25 13:30:00,FIXED,17259,-259.10213999999996
2024-12-25 14:00:00,FIXED,17260,-273.96336
2024-12-25 14:30:00,FIXED,17261,-252.85612
2024-12-25 15:00:00,FIXED,17262,-405.65690591
2024-12-25 15:30:00,FIXED,17263,-550.85680591
2024-12-25 16:00:00,FIXED,17264,-517.5634590999999
2024-12-25 16:30:00,FIXED,17265,-301.76345910000003
2024-12-25 17:00:00,FIXED,17266,-312.79029127
2024-12-25 17:30:00,FIXED,17267,-375.39029127000003
2024-12-25 18:00:00,FIXED,17268,-244.43472401
2024-12-25 18:30:00,FIXED,17269,-282.03472401
2024-12-25 19:00:00,FIXED,17270,-383.05241364
2024-12-25 19:30:00,FIXED,17271,-406.25241364000004
2024-12-25 20:00:00,FIXED,17272,-173.8
2024-12-25 20:30:00,FIXED,17273,-178.0
2024-12-25 21:00:00,FIXED,17274,-130.0
2024-12-25 21:30:00,FIXED,17275,-163.4
2024-12-25 22:00:00,FIXED,17276,-169.0
2024-12-25 22:30:00,FIXED,17277,-187.6
2024-12-25 23:00:00,FIXED,17278,-149.2
2024-12-25 23:30:00,FIXED,17279,-158.8
